group,condition,algorithm,grid,seed,success_rate,mean_undiscounted_return,mean_episode_length,policy_difference_from_optimal,train_stop,stopped_early,training_time_s
grid_comparison,A1_grid,mc,A1_grid,2,1.0,-19.0,30.0,0.008547,28989,True,15.278
grid_comparison,A1_grid,q_learning,A1_grid,2,1.0,-17.0,28.0,0.0,5541,True,3.407
grid_comparison,A1_grid,value_iteration,A1_grid,3,1.0,-17.0,28.0,0.0,30,,0.078
grid_comparison,A1_grid,mc,A1_grid,3,1.0,-17.0,28.0,0.0,31198,True,16.246
grid_comparison,A1_grid,q_learning,A1_grid,3,1.0,-17.0,28.0,0.0,4204,True,2.626
grid_comparison,A1_grid,value_iteration,A1_grid,4,1.0,-17.0,28.0,0.0,30,,0.076
grid_comparison,A1_grid,mc,A1_grid,4,1.0,-17.0,28.0,0.017094,32030,True,16.787
grid_comparison,A1_grid,q_learning,A1_grid,4,1.0,-17.0,28.0,0.0,5057,True,3.135
grid_comparison,super_hard,value_iteration,super_hard,0,1.0,-47.0,58.0,0.0,59,,0.602
grid_comparison,super_hard,mc,super_hard,0,1.0,-47.0,58.0,0.085062,27633,True,50.537
grid_comparison,super_hard,q_learning,super_hard,0,1.0,-47.0,58.0,0.0,38840,True,69.503
grid_comparison,super_hard,value_iteration,super_hard,1,1.0,-47.0,58.0,0.0,59,,0.602
grid_comparison,super_hard,mc,super_hard,1,1.0,-49.0,60.0,0.064315,34775,True,62.132
grid_comparison,super_hard,q_learning,super_hard,1,1.0,-47.0,58.0,0.0,54607,True,97.034
grid_comparison,super_hard,value_iteration,super_hard,2,1.0,-47.0,58.0,0.0,59,,0.611
grid_comparison,super_hard,mc,super_hard,2,1.0,-47.0,58.0,0.068465,33512,True,60.801
grid_comparison,super_hard,q_learning,super_hard,2,1.0,-47.0,58.0,0.0,39738,True,71.72
grid_comparison,super_hard,value_iteration,super_hard,3,1.0,-47.0,58.0,0.0,59,,0.605
grid_comparison,super_hard,mc,super_hard,3,1.0,-47.0,58.0,0.082988,34318,True,62.42
grid_comparison,super_hard,q_learning,super_hard,3,1.0,-47.0,58.0,0.0,43569,True,78.59
grid_comparison,super_hard,value_iteration,super_hard,4,1.0,-47.0,58.0,0.0,59,,0.602
grid_comparison,super_hard,mc,super_hard,4,1.0,-47.0,58.0,0.060166,30559,True,55.724
grid_comparison,super_hard,q_learning,super_hard,4,1.0,-47.0,58.0,0.0,44530,True,80.208
discount_factor,gamma=0.6,value_iteration,A1_grid,0,1.0,-17.0,28.0,0.0,30,,0.077
discount_factor,gamma=0.6,mc,A1_grid,0,1.0,-17.0,28.0,0.0,34694,True,17.976
discount_factor,gamma=0.6,q_learning,A1_grid,0,1.0,-17.0,28.0,0.0,2570,True,1.637
discount_factor,gamma=0.6,value_iteration,A1_grid,1,1.0,-17.0,28.0,0.0,30,,0.075
